espece,periode,1-06-2013,2-06-2013,3-06-2013,4-06-2013,5-06-2013,6-06-2013,7-06-2013,8-06-2013,9-06-2013,10-06-2013,11-06-2013,12-06-2013,13-06-2013,14-06-2013,15-06-2013,16-06-2013,17-06-2013,18-06-2013,19-06-2013,20-06-2013,21-06-2013,22-06-2013,23-06-2013,24-06-2013,25-06-2013,26-06-2013,27-06-2013,28-06-2013,29-06-2013,30-06-2013
Balaenoptera borealis,pm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
Delphinus delphis,pm,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1
Globicephala macrorhynchus,pm,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Globicephala macrorhynchus,am,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0
Grampus griseus,pm,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1
Grampus griseus,am,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1
Physeter macrocephalus,pm,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1
Physeter macrocephalus,am,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1
Stenella coeruleoalba,pm,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
Stenella coeruleoalba,am,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Tursiops truncatus,pm,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Tursiops truncatus,am,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0
bateau,pm,2,2,0,3,3,2,3,2,0,0,0,5,3,3,0,2,1,2,1,3,1,1,2,0,1,0,0,3,0,2
bateau,am,1,3,2,3,3,3,3,3,3,0,0,3,3,2,1,3,3,3,3,3,1,2,3,3,3,3,3,3,1,3
