espece,periode,1-07-2013,2-07-2013,3-07-2013,4-07-2013,5-07-2013,6-07-2013,7-07-2013,8-07-2013,9-07-2013,10-07-2013,11-07-2013,12-07-2013,13-07-2013,14-07-2013,15-07-2013,16-07-2013,17-07-2013,18-07-2013,19-07-2013,20-07-2013,21-07-2013,22-07-2013,23-07-2013,24-07-2013,25-07-2013,26-07-2013,27-07-2013,28-07-2013,29-07-2013,30-07-2013,31-07-2013
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Delphinus delphis,am,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0
Delphinus delphis,pm,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1
Globicephala macrorhynchus,pm,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
Globicephala macrorhynchus,am,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Grampus griseus,pm,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0
Grampus griseus,am,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
Physeter macrocephalus,pm,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0
Physeter macrocephalus,am,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0
Stenella coeruleoalba,pm,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1
Stenella coeruleoalba,am,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
Stenella frontalis,pm,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
Stenella frontalis,am,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
Tursiops truncatus,pm,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0
Tursiops truncatus,am,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0
bateau,pm,2,3,2,3,3,1,3,3,3,3,3,3,2,6,3,3,3,4,3,3,3,5,4,3,6,3,3,3,3,3,1
bateau,am,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
