espece,periode,1-10-2015,2-10-2015,3-10-2015,4-10-2015,5-10-2015,6-10-2015,7-10-2015,8-10-2015,9-10-2015,10-10-2015,11-10-2015,12-10-2015,13-10-2015,14-10-2015,15-10-2015,16-10-2015,17-10-2015,18-10-2015,19-10-2015,20-10-2015,21-10-2015,22-10-2015,23-10-2015,24-10-2015,25-10-2015,26-10-2015,27-10-2015,28-10-2015,29-10-2015,30-10-2015,31-10-2015
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Delphinus delphis,pm,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Globicephala macrorhynchus,pm,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0
Grampus griseus,pm,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0
Grampus griseus,am,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Physeter macrocephalus,pm,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
Physeter macrocephalus,am,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella coeruleoalba,am,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Stenella frontalis,am,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tursiops truncatus,pm,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0
Tursiops truncatus,am,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1
bateau,pm,2,0,2,0,0,2,1,0,0,0,2,2,0,0,0,2,0,0,1,1,2,2,0,1,0,2,3,3,0,0,1
bateau,am,2,1,2,0,0,2,3,0,0,0,2,2,2,0,0,2,0,1,2,2,2,2,2,1,0,2,2,0,0,0,2
