espece,periode,1-07-2015,2-07-2015,3-07-2015,4-07-2015,5-07-2015,6-07-2015,7-07-2015,8-07-2015,9-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015,16-07-2015,17-07-2015,18-07-2015,19-07-2015,20-07-2015,21-07-2015,22-07-2015,23-07-2015,24-07-2015,25-07-2015,26-07-2015,27-07-2015,28-07-2015,29-07-2015,30-07-2015,31-07-2015
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1
Delphinus delphis,pm,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1
Globicephala macrorhynchus,pm,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampus griseus,pm,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Grampus griseus,am,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1
Physeter macrocephalus,pm,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
Physeter macrocephalus,am,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Stenella coeruleoalba,pm,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Stenella coeruleoalba,am,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,pm,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
Stenella frontalis,am,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Tursiops truncatus,pm,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Tursiops truncatus,am,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0
bateau,pm,3,0,4,3,4,0,3,3,2,4,3,4,4,4,4,3,4,0,4,4,4,4,4,4,2,4,4,4,4,4,4
bateau,am,4,0,4,3,3,4,4,3,3,4,3,3,4,4,4,3,4,2,4,4,4,4,4,4,2,4,4,4,3,4,4
