espece,periode,1-09-2015,2-09-2015,3-09-2015,4-09-2015,5-09-2015,6-09-2015,7-09-2015,8-09-2015,9-09-2015,10-09-2015,11-09-2015,12-09-2015,13-09-2015,14-09-2015,15-09-2015,16-09-2015,17-09-2015,18-09-2015,19-09-2015,20-09-2015,21-09-2015,22-09-2015,23-09-2015,24-09-2015,25-09-2015,26-09-2015,27-09-2015,28-09-2015,29-09-2015,30-09-2015
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
Delphinus delphis,pm,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
Globicephala macrorhynchus,pm,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Grampus griseus,pm,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0
Grampus griseus,am,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0
Physeter macrocephalus,pm,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Physeter macrocephalus,am,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Stenella coeruleoalba,am,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,pm,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Stenella frontalis,am,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Tursiops truncatus,pm,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Tursiops truncatus,am,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
bateau,pm,0,0,3,3,2,3,0,4,3,1,2,0,2,3,0,3,3,0,1,2,2,0,3,4,0,2,0,0,0,0
bateau,am,1,0,4,4,2,2,1,4,3,3,1,2,3,3,0,3,3,1,2,2,3,3,3,3,0,3,2,0,2,0
