espece,periode,1-08-2015,2-08-2015,3-08-2015,4-08-2015,5-08-2015,6-08-2015,7-08-2015,8-08-2015,9-08-2015,10-08-2015,11-08-2015,12-08-2015,13-08-2015,14-08-2015,15-08-2015,16-08-2015,17-08-2015,18-08-2015,19-08-2015,20-08-2015,21-08-2015,22-08-2015,23-08-2015,24-08-2015,25-08-2015,26-08-2015,27-08-2015,28-08-2015,29-08-2015,30-08-2015,31-08-2015
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1
Delphinus delphis,pm,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1
Globicephala macrorhynchus,pm,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
Grampus griseus,pm,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0
Grampus griseus,am,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1
Physeter macrocephalus,pm,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0
Physeter macrocephalus,am,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Stenella coeruleoalba,am,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Stenella frontalis,pm,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
Stenella frontalis,am,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1
Tursiops truncatus,pm,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0
Tursiops truncatus,am,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0
bateau,pm,0,3,4,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,2,1,3,2,4,4,3,0,0,3,1,2,4
bateau,am,1,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,2,4,4,4,0,0,3,3,3,4
