espece,periode,1-06-2015,2-06-2015,3-06-2015,4-06-2015,5-06-2015,6-06-2015,7-06-2015,8-06-2015,9-06-2015,10-06-2015,11-06-2015,12-06-2015,13-06-2015,14-06-2015,15-06-2015,16-06-2015,17-06-2015,18-06-2015,19-06-2015,20-06-2015,21-06-2015,22-06-2015,23-06-2015,24-06-2015,25-06-2015,26-06-2015,27-06-2015,28-06-2015,29-06-2015,30-06-2015
Balaenoptera borealis,pm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Delphinus delphis,am,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Delphinus delphis,pm,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
Globicephala macrorhynchus,pm,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Grampus griseus,pm,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0
Grampus griseus,am,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Physeter macrocephalus,pm,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
Physeter macrocephalus,am,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1
Stenella coeruleoalba,pm,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Stenella coeruleoalba,am,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Tursiops truncatus,pm,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tursiops truncatus,am,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
bateau,pm,4,2,1,2,0,0,2,2,0,1,1,3,0,3,1,2,1,3,0,1,3,1,3,0,1,3,1,2,1,2
bateau,am,3,3,2,2,2,0,4,3,0,4,3,4,2,1,1,1,1,2,2,2,3,3,3,4,1,4,3,0,3,3
