espece,periode,1-08-2023,2-08-2023,3-08-2023,4-08-2023,5-08-2023,6-08-2023,7-08-2023,8-08-2023,9-08-2023,10-08-2023,11-08-2023,12-08-2023,13-08-2023,14-08-2023,15-08-2023,16-08-2023,17-08-2023,18-08-2023,19-08-2023,20-08-2023,21-08-2023,22-08-2023,23-08-2023,24-08-2023,25-08-2023,26-08-2023,27-08-2023,28-08-2023,29-08-2023,30-08-2023,31-08-2023
Balaenoptera borealis,pm,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
Delphinus delphis,pm,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,pm,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
Globicephala macrorhynchus,am,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Grampus griseus,pm,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1
Grampus griseus,am,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
Physeter macrocephalus,pm,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Physeter macrocephalus,am,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Stenella coeruleoalba,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,pm,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1
Stenella frontalis,am,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
Tursiops truncatus,pm,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
Tursiops truncatus,am,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0
bateau,pm,6,6,4,7,4,6,6,6,0,7,7,4,6,6,4,6,0,6,5,4,4,5,4,4,0,0,0,4,4,4,4
bateau,am,3,4,4,3,4,4,4,4,0,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,4,2,4,4
