espece,periode,1-07-2023,2-07-2023,3-07-2023,4-07-2023,5-07-2023,6-07-2023,7-07-2023,8-07-2023,9-07-2023,10-07-2023,11-07-2023,12-07-2023,13-07-2023,14-07-2023,15-07-2023,16-07-2023,17-07-2023,18-07-2023,19-07-2023,20-07-2023,21-07-2023,22-07-2023,23-07-2023,24-07-2023,25-07-2023,26-07-2023,27-07-2023,28-07-2023,29-07-2023,30-07-2023,31-07-2023
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1
Delphinus delphis,pm,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1
Globicephala macrorhynchus,pm,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1
Globicephala macrorhynchus,am,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1
Grampus griseus,pm,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1
Grampus griseus,am,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0
Physeter macrocephalus,pm,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
Physeter macrocephalus,am,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
Stenella coeruleoalba,am,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stenella frontalis,pm,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Stenella frontalis,am,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tursiops truncatus,pm,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Tursiops truncatus,am,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
bateau,pm,3,3,2,4,3,0,4,4,4,2,2,0,7,6,6,4,6,4,6,4,6,4,6,4,6,4,4,7,4,6,6
bateau,am,3,4,4,4,3,3,3,4,4,4,3,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
