espece,periode,1-09-2023,2-09-2023,3-09-2023,4-09-2023,5-09-2023,6-09-2023,7-09-2023,8-09-2023,9-09-2023,10-09-2023,11-09-2023,12-09-2023,13-09-2023,14-09-2023,15-09-2023,16-09-2023,17-09-2023,18-09-2023,19-09-2023,20-09-2023,21-09-2023,22-09-2023,23-09-2023,24-09-2023,25-09-2023,26-09-2023,27-09-2023,28-09-2023,29-09-2023,30-09-2023
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Delphinus delphis,pm,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Globicephala macrorhynchus,pm,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Grampus griseus,pm,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
Grampus griseus,am,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1
Physeter macrocephalus,pm,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Physeter macrocephalus,am,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella coeruleoalba,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stenella frontalis,pm,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1
Stenella frontalis,am,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
Tursiops truncatus,pm,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Tursiops truncatus,am,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
bateau,pm,4,1,4,1,0,2,4,4,3,4,3,3,4,2,4,3,4,4,0,0,0,4,2,4,3,0,0,0,0,3
bateau,am,4,3,4,4,0,4,4,4,4,3,2,3,4,2,3,4,4,4,4,2,4,4,3,3,2,0,4,3,2,4
