espece,periode,1-08-2019,2-08-2019,3-08-2019,4-08-2019,5-08-2019,6-08-2019,7-08-2019,8-08-2019,9-08-2019,10-08-2019,11-08-2019,12-08-2019,13-08-2019,14-08-2019,15-08-2019,16-08-2019,17-08-2019,18-08-2019,19-08-2019,20-08-2019,21-08-2019,22-08-2019,23-08-2019,24-08-2019,25-08-2019,26-08-2019,27-08-2019,28-08-2019,29-08-2019,30-08-2019,31-08-2019
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Delphinus delphis,am,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Delphinus delphis,pm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Globicephala macrorhynchus,pm,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Globicephala macrorhynchus,am,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Grampus griseus,pm,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0
Grampus griseus,am,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1
Physeter macrocephalus,pm,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
Physeter macrocephalus,am,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
Stenella coeruleoalba,pm,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1
Stenella coeruleoalba,am,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
Stenella frontalis,pm,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
Stenella frontalis,am,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0
Tursiops truncatus,pm,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Tursiops truncatus,am,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bateau,pm,4,4,4,4,4,4,4,4,4,0,0,4,4,4,5,4,4,4,0,0,3,4,4,4,4,4,4,4,4,4,4
bateau,am,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,0,4,2,4,4,4,4,4,4,4,4,4,4
