espece,periode,1-05-2019,2-05-2019,3-05-2019,4-05-2019,5-05-2019,6-05-2019,7-05-2019,8-05-2019,9-05-2019,10-05-2019,11-05-2019,12-05-2019,13-05-2019,14-05-2019,15-05-2019,16-05-2019,17-05-2019,18-05-2019,19-05-2019,20-05-2019,21-05-2019,22-05-2019,23-05-2019,24-05-2019,25-05-2019,26-05-2019,27-05-2019,28-05-2019,29-05-2019,30-05-2019,31-05-2019
Balaenoptera borealis,pm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0
Delphinus delphis,am,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delphinus delphis,pm,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Grampus griseus,pm,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
Grampus griseus,am,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1
Physeter macrocephalus,pm,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
Physeter macrocephalus,am,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1
Stenella coeruleoalba,am,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tursiops truncatus,pm,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Tursiops truncatus,am,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
bateau,pm,4,4,0,2,0,0,3,0,6,3,0,0,0,4,1,4,7,3,1,2,0,1,4,4,3,3,2,3,3,4,3
bateau,am,4,4,0,4,3,0,3,1,3,4,0,0,0,4,3,4,4,3,3,3,2,3,4,4,2,3,4,3,4,4,4
