espece,periode,1-06-2019,2-06-2019,3-06-2019,4-06-2019,5-06-2019,6-06-2019,7-06-2019,8-06-2019,9-06-2019,10-06-2019,11-06-2019,12-06-2019,13-06-2019,14-06-2019,15-06-2019,16-06-2019,17-06-2019,18-06-2019,19-06-2019,20-06-2019,21-06-2019,22-06-2019,23-06-2019,24-06-2019,25-06-2019,26-06-2019,27-06-2019,28-06-2019,29-06-2019,30-06-2019
Balaenoptera borealis,pm,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1
Delphinus delphis,pm,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
Globicephala macrorhynchus,pm,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampus griseus,pm,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1
Grampus griseus,am,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1
Physeter macrocephalus,pm,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1
Physeter macrocephalus,am,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
Stenella coeruleoalba,pm,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
Stenella coeruleoalba,am,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1
Stenella frontalis,am,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1
Tursiops truncatus,pm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
Tursiops truncatus,am,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
bateau,pm,1,2,2,2,2,2,4,4,4,4,3,4,3,0,0,0,3,4,4,2,0,2,7,4,3,3,3,3,3,3
bateau,am,2,3,2,4,3,2,4,4,4,4,4,4,4,4,0,0,4,4,3,4,0,0,4,4,2,3,3,3,4,3
