espece,periode,1-10-2019,2-10-2019,3-10-2019,4-10-2019,5-10-2019,6-10-2019,7-10-2019,8-10-2019,9-10-2019,10-10-2019,11-10-2019,12-10-2019,13-10-2019,14-10-2019,15-10-2019,16-10-2019,17-10-2019,18-10-2019,19-10-2019,20-10-2019,21-10-2019,22-10-2019,23-10-2019,24-10-2019,25-10-2019,26-10-2019,27-10-2019,28-10-2019,29-10-2019,30-10-2019,31-10-2019
Balaenoptera borealis,pm,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
Delphinus delphis,am,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Delphinus delphis,pm,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Globicephala macrorhynchus,pm,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grampus griseus,pm,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
Grampus griseus,am,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
Physeter macrocephalus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Physeter macrocephalus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Stenella coeruleoalba,pm,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stenella coeruleoalba,am,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stenella frontalis,pm,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Stenella frontalis,am,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Tursiops truncatus,pm,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Tursiops truncatus,am,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
bateau,pm,0,0,1,0,2,0,2,1,1,3,0,1,1,1,0,2,2,2,1,0,2,1,0,0,2,1,1,1,0,0,0
bateau,am,0,0,0,1,2,1,2,2,2,3,0,1,2,2,0,0,2,1,1,2,2,1,0,0,1,1,2,1,0,0,0
