espece,periode,1-07-2019,2-07-2019,3-07-2019,4-07-2019,5-07-2019,6-07-2019,7-07-2019,8-07-2019,9-07-2019,10-07-2019,11-07-2019,12-07-2019,13-07-2019,14-07-2019,15-07-2019,16-07-2019,17-07-2019,18-07-2019,19-07-2019,20-07-2019,21-07-2019,22-07-2019,23-07-2019,24-07-2019,25-07-2019,26-07-2019,27-07-2019,28-07-2019,29-07-2019,30-07-2019,31-07-2019
Balaenoptera borealis,pm,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Delphinus delphis,am,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Delphinus delphis,pm,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Globicephala macrorhynchus,pm,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grampus griseus,pm,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1
Grampus griseus,am,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
Physeter macrocephalus,pm,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1
Physeter macrocephalus,am,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
Stenella coeruleoalba,pm,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Stenella coeruleoalba,am,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Stenella frontalis,pm,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Stenella frontalis,am,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
Tursiops truncatus,pm,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Tursiops truncatus,am,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
bateau,pm,3,3,2,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,0,2,7,0,8,4,4,4,4,4,3
bateau,am,4,2,3,3,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,0,0,3,0,4,4,4,4,4,4,4
