espece,periode,1-09-2019,2-09-2019,3-09-2019,4-09-2019,5-09-2019,6-09-2019,7-09-2019,8-09-2019,9-09-2019,10-09-2019,11-09-2019,12-09-2019,13-09-2019,14-09-2019,15-09-2019,16-09-2019,17-09-2019,18-09-2019,19-09-2019,20-09-2019,21-09-2019,22-09-2019,23-09-2019,24-09-2019,25-09-2019,26-09-2019,27-09-2019,28-09-2019,29-09-2019,30-09-2019
Balaenoptera borealis,pm,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Balaenoptera borealis,am,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
Delphinus delphis,pm,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Globicephala macrorhynchus,pm,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Globicephala macrorhynchus,am,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Grampus griseus,pm,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1
Grampus griseus,am,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
Physeter macrocephalus,pm,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
Physeter macrocephalus,am,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
Stenella coeruleoalba,pm,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
Stenella coeruleoalba,am,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Stenella frontalis,pm,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
Stenella frontalis,am,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0
Tursiops truncatus,pm,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tursiops truncatus,am,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
bateau,pm,3,3,4,0,0,3,3,4,3,1,3,4,3,3,3,2,0,0,3,0,2,0,2,3,3,3,3,3,0,3
bateau,am,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,4,0,4,3,0,2,1,2,3,3,3,3,3,0,2
