espece,periode,1-07-2017,2-07-2017,3-07-2017,4-07-2017,5-07-2017,6-07-2017,7-07-2017,8-07-2017,9-07-2017,10-07-2017,11-07-2017,12-07-2017,13-07-2017,14-07-2017,15-07-2017,16-07-2017,17-07-2017,18-07-2017,19-07-2017,20-07-2017,21-07-2017,22-07-2017,23-07-2017,24-07-2017,25-07-2017,26-07-2017,27-07-2017,28-07-2017,29-07-2017,30-07-2017,31-07-2017
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0
Delphinus delphis,pm,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Globicephala macrorhynchus,am,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Grampus griseus,pm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
Grampus griseus,am,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
Physeter macrocephalus,pm,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Physeter macrocephalus,am,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
Stenella coeruleoalba,pm,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Stenella coeruleoalba,am,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
Stenella frontalis,pm,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1
Stenella frontalis,am,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Tursiops truncatus,pm,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
Tursiops truncatus,am,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1
bateau,pm,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,5,4,5,4,4,4,4,4,5,4,4,4,5
bateau,am,2,3,4,4,4,3,3,2,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
