espece,periode,1-04-2017,2-04-2017,3-04-2017,4-04-2017,5-04-2017,6-04-2017,7-04-2017,8-04-2017,9-04-2017,10-04-2017,11-04-2017,12-04-2017,13-04-2017,14-04-2017,15-04-2017,16-04-2017,17-04-2017,18-04-2017,19-04-2017,20-04-2017,21-04-2017,22-04-2017,23-04-2017,24-04-2017,25-04-2017,26-04-2017,27-04-2017,28-04-2017,29-04-2017,30-04-2017
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1
Delphinus delphis,pm,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampus griseus,pm,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
Grampus griseus,am,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1
Physeter macrocephalus,pm,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
Physeter macrocephalus,am,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Stenella coeruleoalba,am,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tursiops truncatus,pm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tursiops truncatus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bateau,pm,0,0,4,2,1,1,3,1,0,0,3,0,1,3,3,1,2,0,0,3,1,3,4,3,3,0,4,4,0,2
bateau,am,0,0,3,2,2,2,3,2,3,0,3,2,2,3,2,1,3,2,2,2,1,2,4,3,3,0,0,4,1,3
