espece,periode,1-09-2017,2-09-2017,3-09-2017,4-09-2017,5-09-2017,6-09-2017,7-09-2017,8-09-2017,9-09-2017,10-09-2017,11-09-2017,12-09-2017,13-09-2017,14-09-2017,15-09-2017,16-09-2017,17-09-2017,18-09-2017,19-09-2017,20-09-2017,21-09-2017,22-09-2017,23-09-2017,24-09-2017,25-09-2017,26-09-2017,27-09-2017,28-09-2017,29-09-2017,30-09-2017
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Delphinus delphis,pm,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Grampus griseus,pm,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
Grampus griseus,am,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1
Physeter macrocephalus,pm,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1
Physeter macrocephalus,am,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stenella coeruleoalba,am,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,pm,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
Stenella frontalis,am,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0
Tursiops truncatus,pm,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0
Tursiops truncatus,am,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
bateau,pm,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,0,3,2,3,3,2,3,2,1
bateau,am,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,3,2,2,3,0,3,2,2,2,2,2,2,1
