espece,periode,01-09-22,02-09-22,03-09-22,04-09-22,05-09-22,06-09-22,07-09-22,08-09-22,09-09-22,10-09-22,11-09-22,12-09-22,13-09-22,14-09-22,15-09-22,16-09-22,17-09-22,18-09-22,19-09-22,20-09-22,21-09-22,22-09-22,23-09-22,24-09-22,25-09-22,26-09-22,27-09-22,28-09-22,29-09-22,30-09-22
bateau,am,2,4,3,4,3,4,2,3,4,0,0,4,4,4,2,3,3,3,3,3,3,3,0,0,0,4,4,3,4,3
bateau,pm,2,3,3,3,3,4,3,4,4,0,0,4,4,3,2,3,3,3,3,4,3,3,0,0,0,0,4,0,4,3
Balaenoptera borealis,am,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1
Balaenoptera borealis,pm,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
Delphinus delphis,am,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
Delphinus delphis,pm,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Grampus griseus,am,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
Grampus griseus,pm,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1
Physeter macrocephalus,am,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Physeter macrocephalus,pm,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
Stenella coeruleoalba,am,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stenella coeruleoalba,pm,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stenella frontalis,am,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1
Stenella frontalis,pm,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
Tursiops truncatus,am,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1
Tursiops truncatus,pm,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
