espece,periode,1-09-2016,2-09-2016,3-09-2016,4-09-2016,5-09-2016,6-09-2016,7-09-2016,8-09-2016,9-09-2016,10-09-2016,11-09-2016,12-09-2016,13-09-2016,14-09-2016,15-09-2016,16-09-2016,17-09-2016,18-09-2016,19-09-2016,20-09-2016,21-09-2016,22-09-2016,23-09-2016,24-09-2016,25-09-2016,26-09-2016,27-09-2016,28-09-2016,29-09-2016,30-09-2016
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,pm,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grampus griseus,pm,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
Grampus griseus,am,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
Physeter macrocephalus,pm,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0
Physeter macrocephalus,am,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1
Stenella coeruleoalba,pm,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Stenella coeruleoalba,am,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Stenella frontalis,pm,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stenella frontalis,am,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
Tursiops truncatus,pm,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
Tursiops truncatus,am,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
bateau,pm,3,0,2,3,1,3,3,3,3,3,0,4,3,3,3,3,2,3,2,2,2,2,0,1,2,2,1,1,2,0
bateau,am,3,2,0,3,0,3,3,3,3,3,0,3,3,3,3,3,2,3,2,2,1,3,2,1,3,3,3,2,2,2
