espece,periode,1-06-2016,2-06-2016,3-06-2016,4-06-2016,5-06-2016,6-06-2016,7-06-2016,8-06-2016,9-06-2016,10-06-2016,11-06-2016,12-06-2016,13-06-2016,14-06-2016,15-06-2016,16-06-2016,17-06-2016,18-06-2016,19-06-2016,20-06-2016,21-06-2016,22-06-2016,23-06-2016,24-06-2016,25-06-2016,26-06-2016,27-06-2016,28-06-2016,29-06-2016,30-06-2016
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Delphinus delphis,am,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
Delphinus delphis,pm,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
Grampus griseus,pm,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0
Grampus griseus,am,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1
Physeter macrocephalus,pm,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0
Physeter macrocephalus,am,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0
Stenella coeruleoalba,pm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1
Stenella coeruleoalba,am,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Tursiops truncatus,pm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0
Tursiops truncatus,am,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1
bateau,pm,3,0,0,0,2,0,0,5,2,2,2,3,2,3,2,2,3,2,3,2,1,3,3,3,3,3,2,4,3,1
bateau,am,0,4,0,0,0,0,0,4,3,0,2,3,3,3,3,3,1,0,3,2,3,3,3,3,2,2,3,4,3,3
