espece,periode,1-07-2016,2-07-2016,3-07-2016,4-07-2016,5-07-2016,6-07-2016,7-07-2016,8-07-2016,9-07-2016,10-07-2016,11-07-2016,12-07-2016,13-07-2016,14-07-2016,15-07-2016,16-07-2016,17-07-2016,18-07-2016,19-07-2016,20-07-2016,21-07-2016,22-07-2016,23-07-2016,24-07-2016,25-07-2016,26-07-2016,27-07-2016,28-07-2016,29-07-2016,30-07-2016,31-07-2016
Balaenoptera borealis,pm,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Delphinus delphis,am,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
Delphinus delphis,pm,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1
Globicephala macrorhynchus,pm,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Grampus griseus,pm,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
Grampus griseus,am,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1
Physeter macrocephalus,pm,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1
Physeter macrocephalus,am,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1
Stenella coeruleoalba,pm,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Stenella coeruleoalba,am,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1
Stenella frontalis,pm,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1
Stenella frontalis,am,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0
Tursiops truncatus,pm,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Tursiops truncatus,am,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1
bateau,pm,1,2,3,4,2,2,2,2,3,7,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4
bateau,am,2,1,2,4,0,3,2,2,0,0,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4
