espece,periode,1-05-2018,2-05-2018,3-05-2018,4-05-2018,5-05-2018,6-05-2018,7-05-2018,8-05-2018,9-05-2018,10-05-2018,11-05-2018,12-05-2018,13-05-2018,14-05-2018,15-05-2018,16-05-2018,17-05-2018,18-05-2018,19-05-2018,20-05-2018,21-05-2018,22-05-2018,23-05-2018,24-05-2018,25-05-2018,26-05-2018,27-05-2018,28-05-2018,29-05-2018,30-05-2018,31-05-2018
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
Delphinus delphis,pm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampus griseus,pm,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1
Grampus griseus,am,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0
Physeter macrocephalus,pm,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1
Physeter macrocephalus,am,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1
Stenella coeruleoalba,pm,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0
Stenella coeruleoalba,am,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tursiops truncatus,pm,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
Tursiops truncatus,am,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
bateau,pm,2,4,4,4,3,2,1,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,4,3,2,4
bateau,am,3,4,4,4,3,3,2,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4,3,2
