espece,periode,1-04-2018,2-04-2018,3-04-2018,4-04-2018,5-04-2018,6-04-2018,7-04-2018,8-04-2018,9-04-2018,10-04-2018,11-04-2018,12-04-2018,13-04-2018,14-04-2018,15-04-2018,16-04-2018,17-04-2018,18-04-2018,19-04-2018,20-04-2018,21-04-2018,22-04-2018,23-04-2018,24-04-2018,25-04-2018,26-04-2018,27-04-2018,28-04-2018,29-04-2018,30-04-2018
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0
Delphinus delphis,pm,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grampus griseus,pm,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1
Grampus griseus,am,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
Physeter macrocephalus,pm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Physeter macrocephalus,am,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Stenella coeruleoalba,pm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
Stenella coeruleoalba,am,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tursiops truncatus,pm,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Tursiops truncatus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bateau,pm,0,0,3,0,0,0,1,2,2,1,0,1,0,2,0,0,0,0,1,1,2,1,3,2,3,3,3,2,0,2
bateau,am,0,0,3,1,0,2,1,3,2,3,3,3,1,2,2,0,0,3,3,2,2,3,3,3,3,3,3,2,3,2
