espece,periode,1-06-2018,2-06-2018,3-06-2018,4-06-2018,5-06-2018,6-06-2018,7-06-2018,8-06-2018,9-06-2018,10-06-2018,11-06-2018,12-06-2018,13-06-2018,14-06-2018,15-06-2018,16-06-2018,17-06-2018,18-06-2018,19-06-2018,20-06-2018,21-06-2018,22-06-2018,23-06-2018,24-06-2018,25-06-2018,26-06-2018,27-06-2018,28-06-2018,29-06-2018,30-06-2018
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0
Balaenoptera borealis,am,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0
Delphinus delphis,am,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Delphinus delphis,pm,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
Globicephala macrorhynchus,pm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grampus griseus,pm,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
Grampus griseus,am,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
Physeter macrocephalus,pm,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1
Physeter macrocephalus,am,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
Stenella coeruleoalba,pm,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Stenella coeruleoalba,am,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
Stenella frontalis,pm,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1
Tursiops truncatus,pm,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1
Tursiops truncatus,am,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1
bateau,pm,4,4,0,4,0,2,2,2,4,1,3,3,2,4,4,2,3,2,3,1,3,3,1,2,4,3,2,1,4,2
bateau,am,4,4,3,4,0,4,4,4,4,3,2,3,3,3,4,3,4,4,4,4,3,4,3,0,4,4,4,4,4,3
