espece,periode,1-06-2014,2-06-2014,3-06-2014,4-06-2014,5-06-2014,6-06-2014,7-06-2014,8-06-2014,9-06-2014,10-06-2014,11-06-2014,12-06-2014,13-06-2014,14-06-2014,15-06-2014,16-06-2014,17-06-2014,18-06-2014,19-06-2014,20-06-2014,21-06-2014,22-06-2014,23-06-2014,24-06-2014,25-06-2014,26-06-2014,27-06-2014,28-06-2014,29-06-2014,30-06-2014
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1
Delphinus delphis,am,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Delphinus delphis,pm,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
Globicephala macrorhynchus,pm,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Grampus griseus,pm,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0
Grampus griseus,am,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1
Physeter macrocephalus,pm,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Physeter macrocephalus,am,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
Stenella coeruleoalba,pm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Stenella coeruleoalba,am,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Tursiops truncatus,pm,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
Tursiops truncatus,am,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
bateau,pm,1,2,4,0,0,1,0,3,1,3,2,3,3,3,1,2,1,3,1,1,1,3,4,3,3,3,3,1,3,2
bateau,am,3,3,3,3,0,2,2,3,3,3,3,2,3,0,3,3,3,3,2,3,1,3,3,3,3,3,3,2,3,3
