espece,periode,1-07-2014,2-07-2014,3-07-2014,4-07-2014,5-07-2014,6-07-2014,7-07-2014,8-07-2014,9-07-2014,10-07-2014,11-07-2014,12-07-2014,13-07-2014,14-07-2014,15-07-2014,16-07-2014,17-07-2014,18-07-2014,19-07-2014,20-07-2014,21-07-2014,22-07-2014,23-07-2014,24-07-2014,25-07-2014,26-07-2014,27-07-2014,28-07-2014,29-07-2014,30-07-2014,31-07-2014
Balaenoptera borealis,pm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
Delphinus delphis,pm,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1
Globicephala macrorhynchus,pm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globicephala macrorhynchus,am,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grampus griseus,pm,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
Grampus griseus,am,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1
Physeter macrocephalus,pm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
Physeter macrocephalus,am,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Stenella coeruleoalba,pm,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Stenella coeruleoalba,am,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Stenella frontalis,pm,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
Stenella frontalis,am,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1
Tursiops truncatus,pm,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
Tursiops truncatus,am,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
bateau,pm,2,2,2,3,1,2,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,0,3,4,4,4,1,4
bateau,am,4,4,4,3,1,4,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,0,3,4,4,3,0,4
