espece,periode,1-05-2014,2-05-2014,3-05-2014,4-05-2014,5-05-2014,6-05-2014,7-05-2014,8-05-2014,9-05-2014,10-05-2014,11-05-2014,12-05-2014,13-05-2014,14-05-2014,15-05-2014,16-05-2014,17-05-2014,18-05-2014,19-05-2014,20-05-2014,21-05-2014,22-05-2014,23-05-2014,24-05-2014,25-05-2014,26-05-2014,27-05-2014,28-05-2014,29-05-2014,30-05-2014,31-05-2014
Balaenoptera borealis,pm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Delphinus delphis,am,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Delphinus delphis,pm,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Grampus griseus,pm,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Grampus griseus,am,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Physeter macrocephalus,pm,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
Physeter macrocephalus,am,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Stenella coeruleoalba,pm,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Stenella coeruleoalba,am,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stenella frontalis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tursiops truncatus,pm,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Tursiops truncatus,am,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
bateau,pm,1,0,3,2,3,2,2,2,2,2,2,2,1,1,1,1,2,1,2,0,2,1,2,1,2,2,2,2,2,2,2
bateau,am,2,0,0,3,3,3,2,2,2,1,2,2,3,3,2,1,1,2,2,1,0,2,2,2,2,2,2,2,2,1,2
