espece,periode,1-09-2014,2-09-2014,3-09-2014,4-09-2014,5-09-2014,6-09-2014,7-09-2014,8-09-2014,9-09-2014,10-09-2014,11-09-2014,12-09-2014,13-09-2014,14-09-2014,15-09-2014,16-09-2014,17-09-2014,18-09-2014,19-09-2014,20-09-2014,21-09-2014,22-09-2014,23-09-2014,24-09-2014,25-09-2014,26-09-2014,27-09-2014,28-09-2014,29-09-2014,30-09-2014
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
Delphinus delphis,pm,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
Globicephala macrorhynchus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Globicephala macrorhynchus,am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Grampus griseus,pm,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0
Grampus griseus,am,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1
Physeter macrocephalus,pm,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
Physeter macrocephalus,am,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0
Stenella coeruleoalba,pm,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stenella coeruleoalba,am,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stenella frontalis,pm,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Stenella frontalis,am,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Tursiops truncatus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0
Tursiops truncatus,am,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1
bateau,pm,2,3,2,1,2,0,2,3,0,0,0,1,2,3,2,3,3,3,3,3,0,2,1,1,1,1,2,2,0,0
bateau,am,4,3,3,3,3,3,3,2,3,1,0,3,2,3,0,2,3,3,3,0,2,3,2,3,2,2,0,2,2,2
